Date,Location,Disease,Cases,Deaths,Rainfall (mm),Temperature (°C),Humidity (%),Population Density,Water Quality Index,Air Quality Index,Vaccination Rate (%),Hospital Beds per 1000,Previous Outbreak History,Outbreak Risk
2018-02-26,Vengara,Cholera,145,9,78,27.965915973515383,90,High,Very Poor,Moderate,51.93295696075771,2.132650932761565,Yes,High
2021-03-07,Kalikavu,Dengue,128,3,73,30.85566273002435,92,High,Moderate,Low,45.50668629558737,2.629703313325128,Yes,Low
2016-07-06,Ponnani,Leptospirosis,449,2,136,34.739030329650724,76,Low,Good,High,73.0216644142584,3.725572365392418,Yes,High
2017-04-10,Melattur,Nipah Virus,291,4,98,24.90450125863865,75,High,Good,High,52.357439234832825,3.132047611943441,Yes,Medium
2015-02-22,Vengara,Cholera,355,5,86,21.24976081598483,70,Medium,Moderate,High,79.97099033903118,3.981079475699974,No,High
2015-10-18,Pandikkad,Leptospirosis,191,17,66,28.818199120346655,84,Low,Moderate,Low,47.530165867725124,3.6407262783402614,Yes,Medium
2025-02-03,Tirur,Leptospirosis,327,4,64,30.582534205346334,60,Low,Very Poor,Moderate,58.19996733542386,3.9245304698300236,Yes,High
2023-12-10,Kottakkal,COVID-19,485,11,169,29.26578348518023,74,Medium,Poor,Low,77.59419613646767,3.5032886923802944,Yes,High
2022-08-08,Kottakkal,Typhoid,45,16,57,29.83177285250601,94,High,Poor,High,75.28792606937176,2.6113531669134185,No,High
2018-11-14,Edappal,H1N1,361,0,76,32.713198139914475,72,High,Moderate,Moderate,88.98084459021499,1.6294068942769684,No,High
2017-12-16,Chelembra,COVID-19,15,0,85,32.73667348429712,69,Low,Moderate,Moderate,57.333409722291094,2.0743732540097244,Yes,Medium
2015-04-19,Valanchery,Malaria,61,17,53,33.05675363067732,67,Medium,Moderate,Low,44.090196310821106,1.7145607109800887,No,Low
2023-06-06,Kalikavu,Malaria,276,16,179,21.263285608374993,86,Medium,Very Poor,High,66.29672524842124,3.3438166802547684,No,High
2017-12-27,Pandikkad,Dengue,354,13,83,23.034805309571045,63,High,Good,High,76.6383992232796,2.5172857127976305,Yes,High
2024-05-30,Kondotty,Dengue,414,8,180,20.524237504170113,66,Low,Moderate,Moderate,45.87276760686737,3.4834051388625014,Yes,High
2024-01-22,Kalikavu,Dengue,54,0,151,22.826164446143352,71,Low,Moderate,Low,80.99420981023155,2.2276882360665633,No,Low
2020-09-02,Kalikavu,Malaria,52,8,88,25.176617447721792,84,Low,Poor,Low,74.03212464065513,3.51954349499248,Yes,High
2024-12-11,Thiruvali,Leptospirosis,2,5,115,29.634349112294466,70,Low,Good,Moderate,68.70844016606914,3.173701527521394,No,Medium
2023-06-05,Perinthalmanna,COVID-19,217,13,54,24.049839314810086,76,High,Good,High,43.52986076126535,1.8619933896482053,Yes,Medium
2022-06-05,Pandikkad,Dengue,479,4,67,34.145968320080655,84,Low,Good,Moderate,75.72751901691414,2.561270267654815,No,High
2023-11-15,Manjeri,Typhoid,121,4,95,31.286827447154387,77,Low,Good,Low,68.40367140241345,2.2065202577578233,Yes,Low
2021-05-05,Pandikkad,Cholera,337,4,103,22.834378733369235,75,Low,Good,High,52.685605402369596,2.6053480545708316,No,High
2019-06-15,Areekode,COVID-19,485,14,84,34.83882939268994,69,Low,Good,Moderate,53.86528447607722,3.1218724023564364,No,High
2024-08-30,Tanur,Malaria,463,19,81,22.049960017917897,70,Medium,Very Poor,Low,45.34455890283779,3.3847569974173304,No,High
2025-10-01,Thiruvali,Dengue,276,9,157,25.981677846125592,70,Medium,Moderate,Low,73.39858261182593,1.5385675238711634,Yes,Medium
2022-06-05,Ponnani,Cholera,130,11,107,29.322991863257013,67,Low,Poor,Low,79.24047929249548,1.8066899263706357,Yes,Low
2025-11-23,Kalikavu,Cholera,185,15,153,22.316968553106296,83,Medium,Moderate,Low,51.9697271694794,3.447518563360012,No,Medium
2018-09-13,Vengara,Nipah Virus,5,2,183,20.259866271829672,76,Medium,Very Poor,Low,69.74346003481513,2.2773669532468217,No,Low
2025-04-24,Vengara,Nipah Virus,482,10,97,22.96594831982841,82,High,Good,High,77.28675621266905,1.8145781313585763,Yes,High
